Log.Event Dt,Fleet Name,Region Name,# of Customers,Active Days,Duration (hrs),NPT (All),NPT (Customer + Weather),NPT (Customer),NPT (Daylight Ops),NPT (NEX Equipment),NPT (NEX Support/Logistics/Other),NPT (Weather),Pumping Hours,Performance,Stages Completed,Time Available (hrs),Total Efficiency,Transition Time (hrs),Waiting on WL
2024-01-01,Frac 08,Northeast,45,45,19.48,2.135,0.0,0.0,0.0,2.135,0.0,0.0,13.79138889,0.7083505728555252,4.0,19.469722223,7.0,3.05,0.0
2024-01-01,Frac 10,West Texas,42,42,23.7,6.4925,0.0,0.0,0.0,6.4925,0.0,0.0,8.266388889,0.4346283043600226,3.0,19.019444444999998,7.0,4.19,4.1850000000000005
2024-01-01,Frac 18,Northeast,77,77,19.25,0.5088888890000001,0.026666667,0.026666667,0.0,0.482222222,0.0,0.0,13.337777778,0.6933918669086554,9.0,19.235555556,12.0,4.991111111,0.0
2024-01-01,Frac 21,Central,38,38,17.88,2.496666667,0.283333333,0.283333333,0.0,2.213333334,0.0,0.0,12.647499999,0.7072776698250167,5.0,17.881944445,6.0,2.629444445,0.0
2024-01-01,Frac 32,West Texas,79,79,20.27,0.009166667,0.009166667,0.009166667,0.0,0.0,0.0,0.0,19.675277775999998,0.97056687543185,14.0,20.271944442,21.0,0.392222222,0.0
2024-01-01,Frac 38,Central,37,37,18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.294722222,0.6548066396694859,3.0,18.77611111,6.0,6.27,3.27
2024-01-01,Frac 39,Central,34,34,17.91,1.03,0.492222222,0.492222222,0.0,0.537777778,0.0,0.0,14.626944444,0.817363364026646,6.0,17.895277777,5.0,1.876666667,0.0
2024-01-01,Frac 40,Central,38,38,18.99,0.2475,0.151388889,0.151388889,0.0,0.096111111,0.0,0.0,18.1675,0.9566457501090299,5.0,18.990833334,8.0,0.423055556,0.0
2024-01-01,Frac 90,West Texas,22,22,12.77,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,11.516666665999999,0.9009126467171746,5.0,12.783333332,6.0,0.933333333,0.0
2024-01-02,Frac 08,Northeast,52,52,13.61,0.474166667,0.0,0.0,0.0,0.474166667,0.0,0.0,10.912222222,0.8148685930388015,9.0,13.391388888,6.0,1.583888889,0.0
2024-01-02,Frac 10,West Texas,39,39,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.529166667000002,0.674033684416868,5.0,20.071944444,9.0,6.513611111,6.245000001
2024-01-02,Frac 18,Northeast,69,69,17.36,2.054166666,0.0,0.0,0.0,0.647222222,1.406944444,0.0,10.395833331999999,0.59899167731361,11.0,17.355555554,11.0,4.505277778,0.0
2024-01-02,Frac 21,Central,41,41,15.83,1.5352777780000002,0.02,0.02,0.0,1.5152777780000002,0.0,0.0,10.280000000000001,0.6493315085661789,5.0,15.831666667,4.0,3.858333333,1.4375
2024-01-02,Frac 32,West Texas,73,73,17.939999999999998,1.142777777,0.0,0.0,0.0,1.142777777,0.0,0.0,16.151944444999998,0.9005544541772567,13.0,17.935555557,20.0,0.5002777780000001,0.0
2024-01-02,Frac 38,Central,38,38,13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.242222222999999,0.6225504595181675,7.0,13.239444445,4.0,4.763055555,3.193333333
2024-01-02,Frac 39,Central,39,39,17.72,0.778333333,0.100277778,0.100277778,0.0,0.678055555,0.0,0.0,13.960277777,0.7878631112249319,3.0,17.719166665,5.0,2.590833334,0.0
2024-01-02,Frac 40,Central,47,47,18.310000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.253888889,0.8890813505110431,7.0,18.281666666,7.0,1.8205555549999999,0.0
2024-01-02,Frac 90,West Texas,20,20,8.16,0.766666667,0.0,0.0,0.0,0.766666667,0.0,0.0,5.8,0.7116564416304716,2.0,8.150000001,3.0,1.583333334,0.0
2024-01-03,Frac 08,Northeast,41,41,17.38,2.429444444,0.0,0.0,0.0,2.429444444,0.0,0.0,13.014166666000001,0.7500720438314561,4.0,17.350555554,7.0,1.6411111109999998,0.0
2024-01-03,Frac 10,West Texas,43,43,23.979999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.233611111000002,0.6773333642480238,7.0,23.966944444,8.0,7.671388889,7.3436111120000005
2024-01-03,Frac 18,Northeast,72,72,19.89,1.854722223,1.473888889,1.473888889,0.0,0.380833334,0.0,0.0,12.798611111,0.64346963852974,7.0,19.890000001,12.0,4.579722221,0.0
2024-01-03,Frac 21,Central,43,43,21.03,2.515,0.885555556,0.885555556,0.0,1.629444444,0.0,0.0,15.690277779,0.7460114110574453,4.0,21.032222224,7.0,2.66,0.0
2024-01-03,Frac 32,West Texas,77,77,17.82,2.228055555,0.0,0.0,0.0,2.228055555,0.0,0.0,14.469444445999999,0.8209613869605128,10.0,17.625000001,17.0,0.63,0.0
2024-01-03,Frac 38,Central,2,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2024-01-03,Frac 39,Central,38,38,14.82,0.921388888,0.133333333,0.133333333,0.0,0.7880555549999999,0.0,0.0,12.392222222000001,0.8352899325247887,6.0,14.835833331,5.0,1.057777778,0.0
2024-01-03,Frac 40,Central,37,37,18.41,0.417777778,0.0,0.0,0.0,0.417777778,0.0,0.0,16.144166666,0.8767914793002832,4.0,18.412777778,7.0,1.723611111,0.0
2024-01-03,Frac 90,West Texas,16,16,6.949999999999999,0.2,0.0,0.0,0.0,0.2,0.0,0.0,6.016666667,0.8657074341007194,4.0,6.95,3.0,0.733333333,0.0
2024-01-04,Frac 08,Northeast,26,26,10.32,0.175277778,0.0,0.0,0.0,0.175277778,0.0,0.0,8.456111112,0.8198098726444008,4.0,10.314722223,6.0,1.5,0.0
2024-01-04,Frac 10,West Texas,44,44,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173333333,0.6334465923344076,5.0,23.953611112,7.0,8.730555557,8.274444446
2024-01-04,Frac 18,Northeast,55,55,15.41,0.730277778,0.0,0.0,0.0,0.561111111,0.169166667,0.0,7.9186111100000005,0.6928423866244457,10.0,11.429166666,8.0,1.999166667,0.0
2024-01-04,Frac 21,Central,35,35,15.41,2.796666667,0.0,0.0,0.0,2.796666667,0.0,0.0,10.595833333,0.6873468358557219,5.0,15.415555553999999,6.0,1.8925,0.0
2024-01-04,Frac 32,West Texas,71,71,15.75,0.028055556,0.0,0.0,0.0,0.028055556,0.0,0.0,15.052222221,0.955258611567943,12.0,15.757222221,14.0,0.501111111,0.0
2024-01-04,Frac 38,Central,12,12,23.799999999999997,2.414166667,2.414166667,2.414166667,0.0,0.0,0.0,0.0,3.29,0.13830308974600145,0.0,23.788333334,3.0,0.0,0.0
2024-01-04,Frac 39,Central,29,29,17.14,1.3452777770000002,0.0,0.0,0.0,1.3452777770000002,0.0,0.0,13.873055556,0.8088197189408372,2.0,17.152222221,5.0,1.668055555,0.0
2024-01-04,Frac 40,Central,39,39,9.03,0.043611111,0.0,0.0,0.0,0.043611111,0.0,0.0,7.181111111,0.7958869526537189,5.0,9.022777779,3.0,1.717777778,0.0
